22121	Celeste	2018-01-25	1700	4.37	Celeste is a tight platformer about climbing a mountain while overcoming self-doubt.\nIt is a great demo game because it has a clear title, strong cover art, and a high rating.	https://media.rawg.io/media/games/594/59487800889ebac294c7c2c070d02356.jpg
428741	ULTRAKILL	2020-09-02	141	4.38	ULTRAKILL is a fast-paced retro-style FPS with movement-heavy combat, stylish scoring, and intense arena battles.\nIt works well in the catalog because it stands out from the platformers and sports games.	https://media.rawg.io/media/games/096/096856c7b8b790cdf35c327652e4055e.jpg
19369	Call of Duty	2003-10-29	935	4.16	Call of Duty is a World War II first-person shooter and the first game in the long-running series.\nIt is useful for showing older games, shooter tags, and classic favorites in a user library.	https://media.rawg.io/media/games/9c5/9c5bc0b6e67102bc96dcf1ba41509e42.jpg
4136	Stardew Valley	2016-02-26	2700	4.41	Stardew Valley is a farming and life simulation game where players grow crops, build friendships, fish, mine, and decorate their farm.\nIt is a strong demo title for showing cozy games and long playtimes.	https://placehold.co/600x800/png?text=Stardew+Valley
546464	FIFA 22	2021-09-27	235	3.4	FIFA 22 is a soccer game with career mode, ultimate team, online play, and matchday presentation.\nIt is useful for showing sports games in user libraries.	https://media.rawg.io/media/games/355/355d2ec5d6b87518228dc30a9bb0e70d.jpg
28771	FIFA 07	2006-09-25	130	3.89	FIFA 07 is an older soccer title that helps show how the app can store classic games alongside newer releases.	https://media.rawg.io/media/games/b7c/b7ca8e4d772a4b0569a1b52225f18f8f.jpg
9767	Hollow Knight	2017-02-24	1800	4.42	Hollow Knight is a hand-drawn action adventure game focused on exploration, boss fights, and discovering a ruined underground kingdom.	https://placehold.co/600x800/png?text=Hollow+Knight
274755	Hades	2020-09-17	1500	4.43	Hades is a fast roguelike action game where each escape attempt adds new story, upgrades, and combat choices.	https://placehold.co/600x800/png?text=Hades
3498	Grand Theft Auto V	2013-09-17	2100	4.47	Grand Theft Auto V is an open-world action game with story missions, driving, exploration, and online multiplayer.	https://placehold.co/600x800/png?text=GTA+V
3328	The Witcher 3: Wild Hunt	2015-05-18	2400	4.65	The Witcher 3 is an open-world RPG known for story quests, exploration, player choices, and a large fantasy world.	https://placehold.co/600x800/png?text=The+Witcher+3
